Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
66F6abn7AyQXwyd9rp4qUVTmCpcGB5PBiEz77aWf1zMhgzZ1sUecpZMj5VPpY3xoKoM6QBFrnuehJQ2E6V7LWqwU,1768428857,2026-01-14T22:14:17.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,1980000001,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,12724804886150,6,291.09,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
64R8vSVybLVP2yNThCwfXBBYTnBWmX7FGa2Bxt1S3ja3KevHg1NoeaAxESLDy3amXy2JF1WY6LNnyzJce7amsgZY,1768428818,2026-01-14T22:13:38.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,2000000000,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,13797159543939,6,294.03,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
CK12y9mdbybBe97zvNXioLn3fcTcxrc4qAmhMnjnmHyK9noemGLGijk81wzyzWx4hvrtmjoVsAvW8ZtCSNihp4M,1768428017,2026-01-14T22:00:17.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,1000000000,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,6104781483147,6,146.4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4sq259PS17ASXZabj99SCKfoSZC7r9kdrNMMys3gq4H67FGUiGErL94YFpZ19TswE4gxSZCDinAGABshgMxFUSt2,1768427870,2026-01-14T21:57:50.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,1000000000,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,6311668694658,6,146.4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5Zrx44Nt4iKn7Tm5UvEZYUa5fE1mHvuiu6BYwkAH6imkpBJpzodrPKUK8GG69jNXKMXWAEd1T1QaT3GLU248mNzx,1768427858,2026-01-14T21:57:38.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,1000000000,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,6547253299616,6,146.4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
3PU7tAkTXZU2PxNdF9bn5RNTRaz1biVnG6j7WyQhCJEq8LPS7JLxfGH4wpgbp28ogiDCeJDpqVTexqxPTNUKZSQB,1768370994,2026-01-14T06:09:54.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,500000001,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,3955495601374,6,72.17,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
2ezhBpYFos6c4SSDUFyEEeHgYmVhAdid8aYotuFTNL1jZ5xGK3C351PYcbep3Ea2KqFP3AKakGogcha3HjkpALf8,1768359116,2026-01-14T02:51:56.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111112,4000000000,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,18349752105566,6,582.92,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
Xi5gPbPn5oYLWbziAHwT1oHxxFAHd89Ft2FgebfSALjsYjPMkn9MjEwhZFVLFERfyZ8D5AMuLHUPthEVgQKzC2M,1768346736,2026-01-13T23:25:36.000Z,ACTIVITY_TOKEN_DEPOSIT_VAULT,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,250000000000000,6,,0,0,4259.29,strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m,strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m,1.0,1.0
5JmsPhJzkcmqmJD4UtCVhiRX4v9ojCd625M7eKPWQhPHGyUDHW86XXitW9Mbx5dNLDLRkTiLzocp3Zjcm5exSfdH,1768344912,2026-01-13T22:55:12.000Z,ACTIVITY_TOKEN_SWAP,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,So11111111111111111111111111111111111111111,10968298286,9,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,285268882139290,6,1613.83,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
5JmsPhJzkcmqmJD4UtCVhiRX4v9ojCd625M7eKPWQhPHGyUDHW86XXitW9Mbx5dNLDLRkTiLzocp3Zjcm5exSfdH,1768344912,2026-01-13T22:55:12.000Z,ACTIVITY_SPL_INIT_MINT,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,0,6,,0,0,-1,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb|6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
